bn|term|excerpt
K009|IDO|"y parents at registration. There are also Language ID Guides at the 
security desk and in our main offic"
K009|Imagine Learning|"hich 
they are offered. 
Our technology program, 'Imagine Learning English!' is a great intervention for our English"
K009|Imagine Learning|"s.  We use several technology programs including ‘Imagine Learning English’, ‘Rosetta Stone’ and ‘Math Blaster’.  ""I"
K009|Imagine Learning|"anish.  Students also use the technology program 'Imagine Learning English' which teaches students 
English while pr"
K009|Imagine Learning|"s.  We use several technology programs including ‘Imagine Learning English’, ‘Rosetta Stone’ and ‘Math Blaster’.  ""I"
K009|Rosetta Stone|"y programs including ‘Imagine Learning English’, ‘Rosetta Stone’ and ‘Math Blaster’.  ""Imagine 
Learning English'"
K009|EngageNY|"inister a Math Baseline, Midline and End-line from Engage NY 
Administrative team and various grade teams will "
K009|Learning Partners Program|"collectively came together and decided to use the Learning Partners Program model school-
wide in an effort to help us facili"
K009|Learning Partners Program|" work they have engaged in all year long with the Learning Partners Program and the work they have done 
within their Teacher"
K009|Learning Partners Program|"essional Development, including our work with the Learning Partners Program has been an integral part of 
teacher planning. O"
K009|Learning Partners Program|"pment is provided by our various consultants, the Learning Partners Program 
team, our Grade teams of teachers, our Subject F"
K009|Teacher's College Reading and Writing Project|" student is 
reading and writing on grade level.  Teacher's College running records with leveled reading passages all"
K009|Teacher's College Reading and Writing Project|"e ENL teacher  will be attending calendar days at Teacher's College to meet the 50% goal of ELL-
specific professiona"
K009|Teacher's College Reading and Writing Project|"is provided to teachers both in-house and through Teacher's College.  The Assistant 
Prinicipal, Ms. E. Velazquez, me"
K009|Fundations|"ng activities in English.  Materials used include Fundations letter and sound cards, 
Month-By-Month Phonics a"
K009|Fundations|"
Reading materials, big books for Shared Reading, Fundations notebooks and letter tiles and Words Their Way ac"
K009|Fundations|"
Reading materials, big books for Shared Reading, Fundations notebooks and letter tiles and Words Their Way ac"
X439|Read180|"zing Primary Documents and Graphing.  Scholastic's Read 180 books 
and software will also drive language acqui"
X439|Read180|"tor writing development across the content-areas.  Read 180 is a 
research-based program designed to improve r"
X439|Read180|"ns.       
  
The professional development for the Read 180 program includes a full day of classroom observati"
X439|Read180|"ic: 
  
November 4, 2016:  Classroom Observation - Read 180 - Language Acquisition 
  
December 5, 2016:  Demo"
X439|Read180|"ontent 
  
March 1, 2017:  Using Student Data from Read 180 to Inform Instruction  
  
Participants:  Jessica "
X439|Read180|"grade levels in reading in English when 
using the Read 180 program properly.  Professional development in thi"
X439|Read180|"tor writing development across the content-areas.  Read 180 is a 
research-based program designed to improve r"
X439|Read180|"ns.       
  
The professional development for the Read 180 program includes a full day of classroom observati"
X439|Read180|"ic: 
  
November 4, 2016:  Classroom Observation - Read 180 - Language Acquisition 
  
December 5, 2016:  Demo"
X439|Read180|"ontent 
  
March 1, 2017:  Using Student Data from Read 180 to Inform Instruction  
  
Participants:  Jessica "
X439|Read180|"grade levels in reading in English when 
using the Read 180 program properly.  Professional development in thi"
X439|Read180|"content. Additionally, stand alone ENL follows the Read 180 curriculum, which is content based and 
Common Cor"
X439|Read180|" in a new country. Additionally, the System 44 and Read 180 program are designed to meet the 
language acquisi"
X439|Read180| ELLs all receive instruction through Scholastic’s Read 180 or System 44 programs. Both programs are Common Co
X439|Read180|"they need in order access these grade level texts. Read 180 and System 44 are both research 
based programs th"
X439|Read180|"ated and decided to implement is the System 44 and Read 180 program for entering and emerging 
ENL classes. Bo"
X439|Read180|"der to enhance classroom content, programs such as Read 180 and 
System 44 are used in the ESL classroom. At B"
X439|Read180|" area 
classrooms. Additonally, both System 44 and Read 180 software has native language support built into th"
X439|Read180|"der to enhance classroom content, programs such as Read 180 and 
System 44 are used in the ESL classroom. At B"
K035|Jump Math|"3 (Pearson-Connected Math Program) , EngageNY and Jump Math modules will receive instruction aligned to 
the "
K035|EngageNY|"n of 
the CMP3 (Pearson-Connected Math Program) , EngageNY and Jump Math modules will receive instruction al"
K035|Word Generation|" 2017. As a result, students will embark upon the Word Generation program for academic 
vocabulary through literary"
K035|Word Generation|"as visited all content 
area educators to observe Word Generation roll-out across 
classes and provide support when"
K035|Just Words|"he DRP appropriate interventions such 
as Wilson, Just Words, WIST will be administered to the students.     
"
K035|Fountas and Pinnell|"assessment, ELA Teacher-Created benchmark and the Fountas and Pinnell 
Reading Level Assessment to analyze our students"
Q435|Amplify|"uitment campaigns for the CET and PTA in order 
to amplify parent involvement. We will be coordinating effort"
Q435|Amplify|"uitment campaigns for the CET and PTA in order 
to amplify parent involvement. We will be coordinating effort"
Q435|myON|"newcoming ELLs by providing smaller class 
sizes, myON leveled ebooks, language enrichment services and "
Q435|myON|"ok texts and assessments in our Entering classes; myON 
for Independent Reading that provides leveled te"
Q435|myON|lassroom with a SmartBoard. They also utilize the myON.com program for leveled reading.  The dedicated G
Q435|myON|"ENL levels.  Every 
student in the building has a myON.com online leveled ebook account, and starting ne"
Q435|NewsEla|"lement our classrooms with myon.com, Snap&Read and Newsela to support our 
readers. 

 

In addition to our 8"
Q435|REWARDS|"ding intervention program, 
""REWARDS"" this year.  REWARDS introduces students to a unique multisyllabic wor"
Q435|REWARDS|" to create benchmarks and goals for the students. REWARDS Reading Intervention, Listenwise, 

2017-18 RSCEP"
Q435|EngageNY|" meetings and the adaptation of EngageNY in ELA, 
EngageNY for Math, New Visions and NY Scope and Sequence f"
Q435|EngageNY|"erentiate and scaffold for 
ELLs.  Materials from EngageNY and strategies from WITsi are being researched, u"
Q435|EngageNY|"various points within units of study adapted from EngageNY. 
Teacher created baseline assessments are admini"
Q435|EngageNY|"eated baselines and unit assessments derived from EngageNY across our integrated ENL ELA classes to 
assess "
Q435|EngageNY|"se read and annotation method that are in the ELA EngageNY modules, 
and WITSi to build capacity for all lev"
Q435|EngageNY|"rnings where research, student work, SIOP models, EngageNY, 
WITsi strategies, and use inquiry are reviewed "
Q435|EngageNY|" 

 

          86 

 

 

materials that are on EngageNY.  Teachers have adapted lessons to use in their o"
Q435|Envision|"RSCEP-PF 

 

 

 

          20 

 

What do you envision the delivery of instruction to look like so that a"
Q435|Envision|"sons for our diverse learners.  

 

 

How do you envision teachers using multiple entry points to ensure the"
Q435|Envision|"terventions for all students. 

 

 
 

How do you envision collaboration amongst your School Instructional Ca"
Q435|Envision|"o target 
teacher populations.  

 

 

How do you envision collaboration within teacher teams to improve teac"
Q435|Envision|"o improve personal instruction. 

 

 

How do you envision collaboration across teacher teams to improve teac"
X377|ThinkCERCA|"tion programs and colleges.  

 

Think CERCA: The Think CERCA program is a standards-aligned close reading and a"
X377|ThinkCERCA|"gnition programs and colleges. 
 
Think CERCA: The Think CERCA program is a standards-aligned close reading and a"
M322|Cortex|", Mr. Budde and the Community School Director, Ms. Cortes are tentatively scheduled to meet 
every Wednesday"
M322|Teacher's College Reading and Writing Project|".g., EL SOL, Estrellita, Fountas and Pinnell, DRA, TCRWP, 

teacher-created assessments) are being used to"
M322|Teacher's College Reading and Writing Project|"nced group receiving instruction 
according to the TCRWP model (with ENL support). Beginner and intermedia"
M322|Teacher's College Reading and Writing Project|"pport). Beginner and intermediate students receive TCRWP-based Reader’s and 
Writer’s Workshop instruction"
M322|Teacher's College Reading and Writing Project|"cy block.  Students receive 
instruction using the TCRWP Readers and Writers Workshop curriculum, adapted "
M322|Teacher's College Reading and Writing Project|"ing professional development and coaching from our TCRWP consultant, literacy 
coach and ELLs coordinator "
M322|Teacher's College Reading and Writing Project|and ELLs coordinator in appropriately adapting the TCRWP workshops to effectively meet the instructional n
M322|Teacher's College Reading and Writing Project|"language program receive ELA instruction using the TCRWP Readers and Writers Workshop curriculum, 
adapted"
M322|Teacher's College Reading and Writing Project|"ve a daily triple period literacy block, using the TCRWP Reader’s 
and Writer’s workshops to ensure conten"
M322|Teacher's College Reading and Writing Project|"s, leveraging RTI and the conferring aspect of the TCRWP curriculum to provide students individualized 
fe"
M322|Fountas and Pinnell|" 
ELL teaching team who use language acquisition, Fountas and Pinnell reading level and other measures to create 
group"
X405|Mathletics |"clude specialized support for families, 
arts  and  athletics  services  for  parents,  services  for  parents  f"
X405|REWARDS|"f sessions throughout the year, targeted on using REWARDS 
successfully with students.  This is offered thr"
X405|Envision|"skills, habits, and behaviors. 

 

 

What do you envision the delivery of instruction to look like so that a"
X405|Envision|"yles and needs of our students. 

 

 

How do you envision teachers using multiple entry points to ensure the"
X405|Envision|"unstructured collaboration. 
 

 

 
 

How do you envision collaboration amongst your School Instructional Ca"
X405|Envision|"bulary around student learning. 

 

 

How do you envision collaboration within teacher teams to improve teac"
X405|Envision|"tor and learn from one another. 

 

 

How do you envision collaboration across teacher teams to improve teac"
X363|Pearson|" it is explicit ENL instruction is done utilizing Pearson Longman's Keystone series as well as 
Collections"
X363|Pearson|"e Curriculum.   For ENL the push in 
teacher uses Pearson Longman's Keystone which is sufficiently aligned "
X363|iReady|"ew Visions 
Heat Map 
Attendance 
Data Tracking 

iReady 

  
 
Part 5 – Budget and Resource Alignment 

P"
X363|iReady|"easure that is used to assess progress. 
Advance, iReady, midline 

 

Part 6c. In February 2018, review p"
X363|Khan Academy|"my-On 

2. Below grade level 
on I-Ready exam.  

Khan Academy 

3. Below a 2.5 
onNYSexam. 

 

(Programs and 
"
X363|Rosetta Stone|"our Technology Lab and practice English using the Rosetta Stone system and we have found it very 
beneficial and "
X363|Rosetta Stone|"of targeting reading comprehension.  We also have Rosetta Stone available in the 
technology lab for newcomer stu"
X363|Teacher's College Reading and Writing Project|"areas. In English Language Arts 
specifically, the Teacher’s College Writing Curriculum will be embedded into the curre"
X363|Teacher's College Reading and Writing Project|" areas. In English Language Arts specifically, the Teacher’s College Writing Curriculum will 
be embedded into the curr"
X363|Teacher's College Reading and Writing Project|"tandards.  All teachers of ELLs have also attended Teachers College Writing Workshops to 
incorporate this into our EL"
X363|Envision|"inquiry and discussion.  

 

 

 

 

What do you envision the delivery of instruction to look like so that a"
X363|Envision|"de level and content meetings.  

 

 

How do you envision teachers using multiple entry points to ensure the"
