bn|term|excerpt
K009|IDO|"rpretation service.  (e.g., T&I Brochure, Language ID Guide, Language Palm 
Card distributed at staff me"
K009|IDO|"erpretation 
services.  The T&I brochure, Language ID Guide and Language Palm Card will be distributed a"
K009|IDO|"s 
  Parents’ Guide to Language Access 
  Language ID Guide at security desk and main office 

 

 

Wel"
K009|IDO|"parents at registration.  There are also 
Language ID Guides at the security desk and in our main office"
K009|Imagine Learning|sments from the ENL teacher and reports from the 'Imagine Learning English' program as students master new skills.  
K009|Imagine Learning|"ry, bilingual books and our 
technology program, 'Imagine Learning English', which instructs students in their nativ"
K009|Imagine Learning|"e through our instructional 
technology program, 'Imagine Learning English', which is in addition to their regular i"
K009|Imagine Learning|"which they are offered. 
Our technology program, 'Imagine Learning English!' is a great intervention for our English"
K009|Imagine Learning|".  We 
use several technology programs including ‘Imagine Learning English’, ‘Rosetta Stone’ and ‘Math Blaster’.  ""I"
K009|Imagine Learning|"g English’, ‘Rosetta Stone’ and ‘Math Blaster’.  ""Imagine Learning English' 
measures and tracks students progress s"
K009|Imagine Learning|"anish.  Students also use the technology program 'Imagine Learning English' which teaches students English 
while pr"
K009|Summit|"enior ELL Compliance and 
Performance Specialist.  Submit this form to your Senior ELL Compliance and Perfor"
K009|EngageNY|"inister a Math Baseline, Midline and End-line from Engage NY  

                  2015-16 CEP                  "
K009|Learning Partners Program|"ollectively 
came together and decided to use the Learning Partners Program model school-wide in an effort to help us facilit"
K009|Learning Partners Program|" work they have engaged in all year long with the Learning Partners Program and the work they have done 
within their Teacher"
K009|Learning Partners Program|"essional Development, including our work with the Learning Partners Program has been an integral part of 
teacher planning. O"
K009|Learning Partners Program|"pment is provided by our various consultants, the Learning Partners Program 
team, our Grade teams of teachers, our Subject F"
K009|Teacher's College Reading and Writing Project|" student is reading and writing 
on grade level.  Teacher's College running records with leveled reading passages all"
K009|Teacher's College Reading and Writing Project|"n English.  Students are also 
assessed using the Teacher's College Reading and Writing Project benchmark books for r"
K009|Teacher's College Reading and Writing Project|"e ENL teacher  will be attending calendar days at Teacher's College to meet the 50% goal of ELL-specific 
professiona"
K009|Teacher's College Reading and Writing Project|"s 
provided to teachers both in-house and through Teacher's College.  The Assistant Prinicipal, Ms. E. Velazquez, mee"
K009|Fundations|"ng activities in English.  Materials used include Fundations letter and sound cards, 
Month-By-Month Phonics a"
K009|Fundations|"
Reading materials, big books for Shared Reading, Fundations notebooks and letter tiles and Words Their Way ac"
K009|Fountas and Pinnell|" year as well.   Students are also assessed using Fountas and Pinnell leveled 
reading books and running records.  Next"
K009|Fountas and Pinnell|s).  Students in all DL classes are tracked using Fountas and Pinnell leveled reading assessment in Spanish.  Students 
X439|IDO|"rpretation service.  (e.g., T&I Brochure, Language ID Guide, Language Palm 
Card distributed at staff me"
X439|IDO|"s 
  Parents’ Guide to Language Access 
  Language ID Guide at security desk and main office 

 

 

Our"
X439|Read180|"tor writing development across the content-areas.  Read 180 is a 
research-based program designed to improve r"
X439|Read180|"ions.        
The professional development for the Read 180 program includes a full day of classroom observati"
X439|Read180|"stic:  
November 5, 2014:  Classroom Observation - Read 180 - Language Acquisition 
December 5, 2014:  Demo le"
X439|Read180|"ontent 
January 15, 2015:  Using Student Data from Read 180 to Inform Instruction   
Participants:  Jessica Fa"
X439|Read180|content. Additionally, stand alone ENL follows the Read 180 curriculum, which is content based and Common Core
X439|Read180|" in a new country. Additionally, the System 44 and Read 180 program are designed to meet the language 
acquisi"
X439|Read180| ELLs all receive instruction through Scholastic’s Read 180 or System 44 programs. Both programs are Common Co
X439|Read180|"they need in order access these grade level texts. Read 180 and System 44 are both research 
based programs th"
X439|Read180|"ated and decided to implement is the System 44 and Read 180 program for entering and 
emerging ENL classes. Bo"
X439|Read180|"der to enhance classroom content, programs such as Read 180 and 
System 44 are used in the ESL classroom. At B"
X439|Read180|" area classrooms. 
Additonally, both System 44 and Read 180 software has native language support built into th"
X439|Summit|"enior ELL Compliance and 
Performance Specialist.  Submit this form to your Senior ELL Compliance and Perfor"
X439|Learning Partners Program|"ools 

Administrative Staff 

Pedagogical Staff 

Learning Partners Program 
cohort schools 

Administrative Staff 

Pedagogi"
X439|Learning Partners Program|"ools 

Administrative Staff 

Pedagogical Staff 

Learning Partners Program 
cohort schools 

Administrative Staff 

Pedagogi"
X439|Learning Partners Program|"ools 

Administrative Staff 

Pedagogical Staff 

Learning Partners Program 
cohort schools 

Administrative Staff 

Pedagogi"
X439|Learning Partners Program|"ools 

Administrative Staff 

Pedagogical Staff 

Learning Partners Program 
cohort schools 

  

 
Part 4 – Budget and Resou"
K035|Pearson|"age Learners through the utilization of the CMP3 (Pearson-Connected 
Math Program) and EngageNY modules wil"
K035|IDO|"rpretation service.  (e.g., T&I Brochure, Language ID Guide, Language Palm 
Card distributed at staff me"
K035|IDO|"s 
  Parents’ Guide to Language Access 
  Language ID Guide at security desk and main office 

 

 

Mid"
K035|ThinkCERCA|"m for Triple A, New 
York Ready, News ELA website, Think CERCA (web-based program) that allows students to comple"
K035|EngageNY|"of 
the CMP3 (Pearson-Connected Math Program) and EngageNY modules will receive instruction aligned to the C"
K035|EngageNY|" 
Code X Curriculum for English Language Arts and EngageNY modules.. Literacy Strategies will be supported i"
K035|EngageNY|"of the CMP3 (Pearson-Connected 
Math Program) and EngageNY modules will receive instruction aligned to the C"
K035|Fountas and Pinnell|"assessment, ELA Teacher-Created benchmark and the Fountas and Pinnell Reading 
Level Assessment to analyze our students"
Q435|IDO|"rpretation service.  (e.g., T&I Brochure, Language ID Guide, Language Palm 
Card distributed at staff me"
Q435|IDO|"s 
  Parents’ Guide to Language Access 
  Language ID Guide at security desk and main office 

 

 

All"
Q435|myON|"ystem 44 classes with access to the full library, myON library services, 
language enrichment services a"
Q435|myON|"e use System 44/Read 180 in our Entering classes; myON for Independent Reading 
that provides leveled te"
Q435|myON|"sytem 44 
software access.  They also utilize the myON.com program for leveled reading. 
The dedicated G"
Q435|Read180|"tandards. In addition, courses such as Scholastic Read180/System 
44, and iLit program support content area"
Q435|Summit|"enior ELL Compliance and 
Performance Specialist.  Submit this form to your Senior ELL Compliance and Perfor"
Q435|EngageNY|" to scaffold for the ESL learner.  Materials from EngageNY are being 
researched, utilized and discussed.   "
Q435|EngageNY|"in the content classes.  Teachers have been given EngageNY resources as well as SIOP workbooks and 
training"
Q435|EngageNY|"se read and annotation method that are in the ELA EngageNY modules, to build capacity for all levels 
of stu"
Q435|EngageNY|"e we look at research, student work, SIOP models, EngageNY, WITsi strategies, and use 
inquiry, and relate o"
Q435|EngageNY|"and ISS teacher Sonia DelSignore Viola attend the EngageNY ELA curriculum trainings that are held 
throughou"
Q435|EngageNY|"etings the ENL scaffolding materials that are on 
EngageNY.  Teachers have adapted lessons to use in their o"
Q435|EngageNY|"d ISS teacher, Sonia DelSignore Viola, attend the EngageNY ELA curriculum trainings that are 
held throughou"
Q435|Literacy Design Collaborative|"-2016 school year, we were initially going to use Literacy Design Collaborative as the model for unit planning in all 
department"
Q435|Teacher's College Reading and Writing Project|"ysis consultation and 
instructional coaching from Teachers College at Columbia University, The Efficacy Institute, Sc"
Q435|Teacher's College Reading and Writing Project|"d essay writing). Additionally, CPET 
coaches from Teachers College will observe teachers in 
Global Studies classes a"
X377|IDO|"rpretation service.  (e.g., T&I Brochure, Language ID Guide, Language Palm 
Card distributed at staff me"
X377|IDO|"s 
  Parents’ Guide to Language Access 
  Language ID Guide at security desk and main office 

 

 

Eng"
K753|IDO|"rpretation service.  (e.g., T&I Brochure, Language ID Guide, Language Palm 
Card distributed at staff me"
K753|IDO|"s 
  Parents’ Guide to Language Access 
  Language ID Guide at security desk and main office 

 

 

Our"
M322|IDO|"rpretation service.  (e.g., T&I Brochure, Language ID Guide, Language Palm 
Card distributed at staff me"
M322|IDO|"s 
  Parents’ Guide to Language Access 
  Language ID Guide at security desk and main office 

 

 

The"
M322|myON|" ELA department, including TCRWP running 
records, MyON lexile testing and assessment of writing against a"
M322|Summit|"enior ELL Compliance and 
Performance Specialist.  Submit this form to your Senior ELL Compliance and Perfor"
M322|Teacher's College Reading and Writing Project|"g., EL SOL, Estrellita, Fountas and 
Pinnell, DRA, TCRWP, teacher-created assessments). What insights does"
M322|Teacher's College Reading and Writing Project|"nced group receiving instruction according 
to the TCRWP model (with ENL support). Beginner and intermedia"
M322|Teacher's College Reading and Writing Project|"pport). Beginner and intermediate students receive TCRWP-based Reader’s and Writer’s Workshop 
instruction"
