bn|term|excerpt
K009|Imagine Learning|"sh through an instructional 
technology program, 'Imagine Learning English', which is in addition to their regular i"
K009|Imagine Learning|"g English’, ‘Rosetta Stone’ and ‘Math Blaster’.  ""Imagine Learning English' measures and tracks 
students progress s"
K009|Imagine Learning|"anish.  Students also use the technology program 'Imagine Learning English' which 
teaches students English while pr"
K009|Reading Recovery|"ation influenced our need for the continuation of Reading Recovery, and the creation of a Reading Rescue 
program.  "
K009|Reading Recovery|"he needs of identified subgroups
1. To expand the Reading Recovery program by adding an additional reading recovery "
K009|Reading Recovery|"n order to provide prescribed instruction.
7. The Reading Recovery teachers will provide professional development to"
K009|Reading Recovery|" – 3, consultants, Network Literacy specialist
1. Reading Recovery teachers, Grade 1 teachers
C.
1. Principal will m"
K009|Reading Recovery|", Grade 1 teachers
C.
1. Principal will meet with Reading Recovery teachers and Grade 1 teachers monthly to ensure t"
K009|Reading Recovery|" is being made.
2. Principal will correspond with Reading Recovery trainers at NYU after each session to ensure that"
K009|Reading Recovery|"at she can follow-up.
7. Principal will meet with Reading Recovery teachers monthly.
D. Timeline for implementation "
K009|Reading Recovery|"etc.)

ELA

Mathematics

Science
Social Studies

 Reading Recovery 
Reading Rescue
Guided Reading Small Groups
ELA S"
K009|Reading Rescue|"uation of Reading Recovery, and the creation of a Reading Rescue 
program.  These programs will be a part of our R"
K009|Reading Rescue|"ding recovery teacher.
2. To implement use of the Reading Rescue program to assist struggling readers in grade K –"
K009|Reading Rescue|" NYU

2. Grant funding to support the purchase of Reading Rescue materials.

3. No additional funding or programma"
K009|Reading Rescue|"atics

Science
Social Studies

 Reading Recovery 
Reading Rescue
Guided Reading Small Groups
ELA Strategy Groups
S"
K009|Reading Rescue|"for Reading 
Recovery: one-to-one
*Individualized Reading Rescue 
instruction: one-to-one
*Small groups of 4-6 stu"
K009|Fundations|"ied subgroups
1. Teachers will use Estrellita and Fundations to build students word and phonemic awareness ski"
K009|Fundations|"ant funds will be used to purchase Estrellita and Fundations materials.
2. No programmatic or additional resou"
K009|Fundations|"ading levels, etc.  We 
also use assessments from Fundations and teacher created assessments for ELL's.   Thes"
K009|Fundations|" Reading materials, big books for Shared Reading, Fundations notebooks and 
letter tiles and Words Their Way a"
