bn|term|excerpt
K009|IDO|"rpretation service.  (e.g., T&I Brochure, Language ID Guide, Language Palm 
Card distributed at staff me"
K009|IDO|"erpretation 
services.  The T&I brochure, Language ID Guide and Language Palm Card will be distributed a"
K009|IDO|"s 
  Parents’ Guide to Language Access 
  Language ID Guide at security desk and main office 

 

 

Wel"
K009|IDO|"parents at registration.  There are also 
Language ID Guides at the security desk and in our main office"
K009|Imagine Learning|sments from the ENL teacher and reports from the 'Imagine Learning English' program as students master new skills.  
K009|Imagine Learning|"ry, bilingual books and our 
technology program, 'Imagine Learning English', which instructs students in their nativ"
K009|Imagine Learning|"e through our instructional 
technology program, 'Imagine Learning English', which is in addition to their regular i"
K009|Imagine Learning|"which they are offered. 
Our technology program, 'Imagine Learning English!' is a great intervention for our English"
K009|Imagine Learning|".  We 
use several technology programs including ‘Imagine Learning English’, ‘Rosetta Stone’ and ‘Math Blaster’.  ""I"
K009|Imagine Learning|"g English’, ‘Rosetta Stone’ and ‘Math Blaster’.  ""Imagine Learning English' 
measures and tracks students progress s"
K009|Imagine Learning|"anish.  Students also use the technology program 'Imagine Learning English' which teaches students English 
while pr"
K009|Jump Math|"7 
 
 
 
 
 
 
 
Sept 2016-
June 2017 
 
 
 
 
 

Jump Math 
Consultants 
Math Facilitators 
Administration 
"
K009|Summit|"enior ELL Compliance and 
Performance Specialist.  Submit this form to your Senior ELL Compliance and Perfor"
K009|EngageNY|"inister a Math Baseline, Midline and End-line from Engage NY 
Administrative team and various grade teams will "
K009|Learning Partners Program|"collectively came together and decided to use the Learning Partners Program model school-
wide in an effort to help us facili"
K009|Learning Partners Program|" work they have engaged in all year long with the Learning Partners Program and the work they have done 
within their Teacher"
K009|Learning Partners Program|"essional Development, including our work with the Learning Partners Program has been an integral part of 
teacher planning. O"
K009|Learning Partners Program|"pment is provided by our various consultants, the Learning Partners Program 
team, our Grade teams of teachers, our Subject F"
K009|Teacher's College Reading and Writing Project|" student is reading and writing 
on grade level.  Teacher's College running records with leveled reading passages all"
K009|Teacher's College Reading and Writing Project|"n English.  Students are also 
assessed using the Teacher's College Reading and Writing Project benchmark books for r"
K009|Teacher's College Reading and Writing Project|"e ENL teacher  will be attending calendar days at Teacher's College to meet the 50% goal of ELL-specific 
professiona"
K009|Teacher's College Reading and Writing Project|"s 
provided to teachers both in-house and through Teacher's College.  The Assistant Prinicipal, Ms. E. Velazquez, mee"
K009|Fundations|"ng activities in English.  Materials used include Fundations letter and sound cards, 
Month-By-Month Phonics a"
K009|Fundations|"
Reading materials, big books for Shared Reading, Fundations notebooks and letter tiles and Words Their Way ac"
K009|Fountas and Pinnell|" year as well.   Students are also assessed using Fountas and Pinnell leveled 
reading books and running records.  Next"
K009|Fountas and Pinnell|s).  Students in all DL classes are tracked using Fountas and Pinnell leveled reading assessment in Spanish.  Students 
X439|IDO|"rpretation service.  (e.g., T&I Brochure, Language ID Guide, Language Palm 
Card distributed at staff me"
X439|IDO|"s 
  Parents’ Guide to Language Access 
  Language ID Guide at security desk and main office 

 

 

Our"
X439|Read180|"zing Primary Documents and Graphing.  Scholastic's Read 180 books 
and software will also drive language acqui"
X439|Read180|"meet our NYSESLAT AMAO, ESL teachers 
will use the Read 180 program to support and monitor writing development"
X439|Read180|"or writing development across the content-
areas.  Read 180 is a research-based program designed to improve re"
X439|Read180|"ns.       
  
The professional development for the Read 180 program includes a full day of classroom 
observat"
X439|Read180|"ic: 
  
November 4, 2016:  Classroom Observation - Read 180 - Language Acquisition 
  
December 5, 2016:  Demo"
X439|Read180|"ontent 
  
March 1, 2017:  Using Student Data from Read 180 to Inform Instruction  
  
Participants:  Jessica "
X439|Read180|" grade levels in reading in English when using the Read 180 program 
properly.  Professional development in th"
X439|Read180|"meet our NYSESLAT AMAO, ESL teachers 
will use the Read 180 program to support and monitor writing development"
X439|Read180|"or writing development across the content-
areas.  Read 180 is a research-based program designed to improve re"
X439|Read180|"Development  
The professional development for the Read 180 program includes a full day of classroom 
observat"
X439|Read180|"ic: 
  
November 4, 2016:  Classroom Observation - Read 180 - Language Acquisition 
  
December 5, 2016:  Demo"
X439|Read180|"ontent 
  
March 1, 2017:  Using Student Data from Read 180 to Inform Instruction  
  
Participants:  Jessica "
X439|Read180|" grade levels in reading in English when using the Read 180 program 
properly.  Professional development in th"
X439|Read180|content. Additionally, stand alone ENL follows the Read 180 curriculum, which is content based and Common Core
X439|Read180|" in a new country. Additionally, the System 44 and Read 180 program are designed to meet the language 
acquisi"
X439|Read180| ELLs all receive instruction through Scholastic’s Read 180 or System 44 programs. Both programs are Common Co
X439|Read180|"they need in order access these grade level texts. Read 180 and System 44 are both research 
based programs th"
X439|Read180|"ated and decided to implement is the System 44 and Read 180 program for entering and 
emerging ENL classes. Bo"
X439|Read180|"der to enhance classroom content, programs such as Read 180 and 
System 44 are used in the ESL classroom. At B"
X439|Read180|" area classrooms. 
Additonally, both System 44 and Read 180 software has native language support built into th"
X439|Summit|"enior ELL Compliance and 
Performance Specialist.  Submit this form to your Senior ELL Compliance and Perfor"
K035|IDO|"rpretation service.  (e.g., T&I Brochure, Language ID Guide, Language Palm 
Card distributed at staff me"
K035|IDO|"s 
  Parents’ Guide to Language Access 
  Language ID Guide at security desk and main office 

 

 

Mid"
K035|NewsEla|"tudent 
pre-assessment and post-assessment scores. Newsela articles of the 
week differentiated by individual"
K035|Summit|"enior ELL Compliance and 
Performance Specialist.  Submit this form to your Senior ELL Compliance and Perfor"
K035|EngageNY|"of 
the CMP3 (Pearson-Connected Math Program) and EngageNY modules will receive instruction aligned to the C"
K035|Fountas and Pinnell|"assessment, ELA Teacher-Created benchmark and the Fountas and Pinnell Reading 
Level Assessment to analyze our students"
Q435|Amplify|"uitment campaigns for the CET and PTA in order 
to amplify parent involvement. We will be coordinating effort"
Q435|Amplify|"uitment campaigns for the CET and PTA in order 
to amplify parent involvement. We will be coordinating effort"
Q435|IDO|"rpretation service.  (e.g., T&I Brochure, Language ID Guide, Language Palm 
Card distributed at staff me"
Q435|IDO|"s 
  Parents’ Guide to Language Access 
  Language ID Guide at security desk and main office 

 

 

All"
Q435|myON|"ystem 44 classes with access to the full library, myON library services, 
language enrichment services a"
Q435|myON|"e use System 44/Read 180 in our Entering classes; myON for Independent Reading 
that provides leveled te"
Q435|myON|"sytem 44 
software access.  They also utilize the myON.com program for leveled reading. 
The dedicated G"
Q435|NewsEla|"lement our classrooms with myon.com, Snap&Read and Newsela to support our 
readers. 

In addition to our 8+1 "
Q435|Read180|"s.  Entering and Emerging will be using Scholastic Read 180 and System 44 software.   

2.  What is revealed b"
Q435|REWARDS|"ding intervention program, 
""REWARDS"" this year.  REWARDS introduces students to a unique multisyllabic wor"
Q435|Summit|"enior ELL Compliance and 
Performance Specialist.  Submit this form to your Senior ELL Compliance and Perfor"
Q435|EngageNY|" meetings and the adaptation of EngageNY in ELA, 
EngageNY for Math, New Visions and NY Scope and Sequence f"
Q435|EngageNY|"ng 
around WITsi writing 
strategies embedded in 
EngageNY curriculum, 
which will include how to 
create mu"
Q435|EngageNY|"erentiate and scaffold for 
ELLs.  Materials from EngageNY and strategies from WITsi are being researched, u"
Q435|EngageNY|"in the content classes.  Teachers have been given EngageNY resources as well as SIOP workbooks and 
training"
Q435|EngageNY|"se read and annotation method that are in the ELA EngageNY modules, to build capacity for all levels 
of stu"
Q435|EngageNY|"e we look at research, student work, SIOP models, EngageNY, WITsi strategies, and use 
inquiry, and relate o"
Q435|EngageNY|"and ISS teacher Sonia DelSignore Viola attend the EngageNY ELA curriculum trainings that are held 
throughou"
Q435|EngageNY|"etings the ENL scaffolding materials that are on 
EngageNY.  Teachers have adapted lessons to use in their o"
Q435|EngageNY|"d ISS teacher, Sonia DelSignore Viola, attend the EngageNY ELA curriculum trainings that are 
held throughou"
Q435|Literacy Design Collaborative|"-2016 school year, we were initially going to use Literacy Design Collaborative as the model for unit planning in all 
department"
Q435|Envision|"ses in Algebra for sophomores. 

 

 

What do you envision the delivery of instruction to look like so that a"
Q435|Envision|"sons for our diverse learners.  

 

 

How do you envision teachers using multiple entry points to ensure the"
Q435|Envision|"SCEP-PF 

 

 

 

          30 

 
 

How do you envision collaboration amongst your School Instructional Ca"
Q435|Envision|"boration and best practices. 

 

 

 

How do you envision collaboration within teacher teams to improve teac"
Q435|Envision|"o improve personal instruction. 

 

 

How do you envision collaboration across teacher teams to improve teac"
