bn|term|excerpt
K009|Rosetta Stone|"re (Object Code 199)

(e.g., $2,000)

(Example: 2 Rosetta Stone language development software 
packages for after"
K009|Rosetta Stone|logy programs including ‘On Our Way To English’, ‘Rosetta Stone’ and ‘Math Blaster’.  Native language support is 
K009|Rosetta Stone|"re (Object Code 199)

(e.g., $2,000)

(Example: 2 Rosetta Stone language development software 
packages for after"
K009|Teacher's College Reading and Writing Project|"Ls. 
Assessment Analysis
     At P.S.9 we use the Teacher's College Reading and Writing Project assessments for liter"
K009|Teacher's College Reading and Writing Project|"(e.g., ECLAS-2, EL SOL, Fountas and 
Pinnell, DRA, TCRWP). What insights do the data provide about your EL"
K009|Fundations|"eading levels, etc.  We also use assessments from Fundations and teacher created 
assessments for ELL's.   The"
K009|Fundations|"Reading 
materials, big books for Shared Reading, Fundations notebooks and letter tiles and Words Their Way ac"
K009|Fundations|"eading levels, etc.  We also use assessments from Fundations and teacher created 
assessments for ELL's.   The"
K035|Acuity|"Utilization of monthly assessments, for example, Acuity, Scantron, Learning Directions data to 
drive ins"
K035|Acuity|"sed on the 

findings of the student work.   

 -Acuity and performance series assessments in mathematics"
K035|Acuity|"Language Arts.
Performance Series Assessments and Acuity Assessments conducted in September, January 
and "
K035|Acuity|"rategies under the other programs:  
 Learn It
 Acuity Assessments


 Learning Environment Surveys
4 "
Q435|Teacher's College Reading and Writing Project|"e.g., ECLAS-2, EL SOL, Fountas and Pinnell, 

DRA, TCRWP). What insights do the data provide about your EL"
Q435|Acuity|"a sources including ARIS, Engrade, HSST, ATS, and Acuity, as well as the 
  
Smart Board, both within and "
Q435|Acuity|"a sources including ARIS, Engrade, HSST, ATS, and Acuity, as well as the 
Smart Board, both within and out"
Q435|Acuity|"a sources including ARIS, Engrade, HSST, ATS, and Acuity, as well as the 
Smart Board, both within and out"
Q435|Acuity|"

Learning Environment Survey

MARCH 2011

24

 Acuity Tests
 Observations and Walkthroughs
 Articulat"
X377|Acuity|"es MacGinitie

                                   Acuity
                                   Achieve-3000 
"
K753|Read180|"tron results, students have moved 

from Wilson to Read-180 and 10 students have moved from Read-180 to Ramp-U"
K753|Read180|"Wilson to Read-180 and 10 students have moved from Read-180 to Ramp-Up to Literacy.  
Students have also acqui"
K753|Read180|"ams, including Wilson (daily/within class/30 min), Read-180 (daily/within class/90 min), (Test 
Sophistication"
K753|Read180|" 
decoding and encoding skills.
Read 180 Program:  Read 180 is an innovative computerized program for struggli"
X405|Pearson|"rson Longman, Second Edition
      True Stories - Pearson Longman, Second Edition
      Get Ready to Write "
X405|Pearson|"ongman, Second Edition
      Get Ready to Write - Pearson Longman, Second Edition
      In Contact 1, 2 – S"
X405|Pearson|"h, Second Edition
      Focus on Grammar, Basic - Pearson Longman, Second Edition
      English in Action, "
X405|Pearson|" on Grammar, Intermediate and High-Intermediate - Pearson Longman, Second                         
Edition
"
X405|Pearson|"        
Edition
      North Star, Intermediate - Pearson Longman, Second Edition
      Grammar in Context,"
X405|Pearson|"ay, 2 - Thomson and Heinle
      Ready to Write - Pearson Longman, Third Edition 
      English in Action, "
X405|Pearson|"Second Edition
      Focus on Grammar, Advanced - Pearson Longman, Second Edition
      Grammar in Context,"
X405|Pearson|"inle, Fourth Edition
      North Star, Advanced - Pearson Longman, Second Edition
      Great American Stor"
X405|Pearson|"tion
      Great American Stories – C. G. Draper, Pearson Longman
      All American Stories – C. G. Draper"
X405|Pearson|"ongman
      All American Stories – C. G. Draper, Pearson Longman 
      Topics for Today - Thomson and Hei"
X405|Rosetta Stone|" English in Action Series) and software programs (Rosetta Stone). The students also receive academic 
support in "
X405|Rosetta Stone|"port Museum, Lincoln Center, etc.)

Curricular

 Rosetta Stone—Beginner--Advanced language laboratory/instructio"
X405|Rosetta Stone|uction and set clear goals. We have established a Rosetta Stone online site to better meet the academic needs of 
X405|Rosetta Stone| Long-Term ELLs. We will also incorporate the new Rosetta Stone Online Program with its web-based, assessment-inf
X405|Rosetta Stone|"ehman’s computer labs 
where they make use of our Rosetta Stone materials. 
11.
powerful resource a native langua"
X405|Acuity|"ns (unit, mid-term and 
   finals),  NYS Regents, Acuity, ARIS, Scholarship Reports, Pass/Fail Reports, In"
X363|FOSS|"ATE - MAY 2009

21

 Use Lab-Aids, GLENCOE, and FOSS inquiry kits, and technology in conjunction with "
X363|FOSS|"ficial start time of the school day. Students use FOSS as a 
hands on method to understanding Scientific"
X363|Acuity|"g.
Ongoing data collection and assessment through Acuity, ARIS, student work and conference notes will be
"
X363|Acuity|"y classes, students will access their own data on Acuity
Provide organizational structures and opportuniti"
X363|Acuity|"fered. 










Data collection through Acuity, periodic assessments and teacher conferencing an"
X363|Acuity|"essments
Monitoring of student and teacher use of Acuity to access data.

TEMPLATE - MAY 2010

13

Goal: "
X363|Acuity|"formal and informal classroom observations



 Acuity Predictive and Interim Assessments
 Unit Tests
"
X363|Acuity|"ction test
 Predictive and Interim Assessments
 Acuity quizzes
 Notebook assessment
 Collaborative gro"
M450|Cortex|gh (series) by Perfect Learning; Claudia Christina Cortez (series) from Stone Arch; Foundations for Algebra,
M450|Cortex|gh (series) by Perfect Learning; Claudia Christina Cortez (series) from Stone Arch; Foundations for Algebra,
M450|Read180|"                                           i.     Read180

                                             ii."
M450|Rosetta Stone|" our instructional materials along with the use of Rosetta 
Stone in order to also immerse students in every day Eng"
M450|Rosetta Stone|" our instructional materials along with the use of Rosetta 
Stone in order to also immerse students in every day Eng"
M450|Teacher's College Reading and Writing Project|"Side is recognized and acts as amentor 
school for Teachers College Reading and Writing Project, NYU Partnershipschool"
M450|Teacher's College Reading and Writing Project|"

 Title I will be used to purchase services from Teachers College Reading and Writing 

intervention classes.

Proje"
M450|Teacher's College Reading and Writing Project|"ntinue to be provided in QTEL strategies, 
Wilson, Teachers College Readers & Writers Workshop,  Read 180, and Multi-S"
M450|Teacher's College Reading and Writing Project|" on students' early literacy skills as well as the Teachers College Reading & Writing leveling program.  The 
data for"
M450|Teacher's College Reading and Writing Project|"ntinue to be provided in QTEL strategies, 
Wilson, Teachers College Readers & Writers Workshop,  Read 180, and Multi-S"
M450|Teacher's College Reading and Writing Project|"(e.g., ECLAS-2, EL SOL, Fountas and 
Pinnell, DRA, TCRWP). What insights do the data provide about your EL"
