bn|term|excerpt
K009|IDO|"y parents at registration. There are also Language ID Guides at the 
security desk and in our main offic"
K009|Imagine Learning|"hich 
they are offered. 
Our technology program, 'Imagine Learning English!' is a great intervention for our English"
K009|Imagine Learning|"s.  We use several technology programs including ‘Imagine Learning English’, ‘Rosetta Stone’ and ‘Math Blaster’.  ""I"
K009|Imagine Learning|"anish.  Students also use the technology program 'Imagine Learning English' which teaches students 
English while pr"
K009|Imagine Learning|"s.  We use several technology programs including ‘Imagine Learning English’, ‘Rosetta Stone’ and ‘Math Blaster’.  ""I"
K009|Rosetta Stone|"y programs including ‘Imagine Learning English’, ‘Rosetta Stone’ and ‘Math Blaster’.  ""Imagine 
Learning English'"
K009|EngageNY|"inister a Math Baseline, Midline and End-line from Engage NY 

Administrative team and various grade teams will"
K009|Learning Partners Program|"collectively came together and decided to use the Learning Partners Program model school-
wide in an effort to help us facili"
K009|Learning Partners Program|" work they have engaged in all year long with the Learning Partners Program and the work they have done 
within their Teacher"
K009|Learning Partners Program|"essional Development, including our work with the Learning Partners Program, which has now morphed into 
the Cahn Fellows has"
K009|Teacher's College Reading and Writing Project|" student is 
reading and writing on grade level.  Teacher's College running records with leveled reading passages all"
K009|Teacher's College Reading and Writing Project|"e ENL teacher  will be attending calendar days at Teacher's College to meet the 50% goal of ELL-
specific professiona"
K009|Teacher's College Reading and Writing Project|"is provided to teachers both in-house and through Teacher's College.  The Assistant 
Prinicipal, Ms. E. Velazquez, me"
K009|Fundations|"ng activities in English.  Materials used include Fundations letter and sound cards, 
Month-By-Month Phonics a"
K009|Fundations|"
Reading materials, big books for Shared Reading, Fundations notebooks and letter tiles and Words Their Way ac"
K009|Fundations|"
Reading materials, big books for Shared Reading, Fundations notebooks and letter tiles and Words Their Way ac"
X439|Read180|"content. Additionally, stand alone ENL follows the Read 180 curriculum, which is content based and 
Common Cor"
X439|Read180|" in a new country. Additionally, the System 44 and Read 180 program are designed to meet the 
language acquisi"
X439|Read180| ELLs all receive instruction through Scholastic’s Read 180 or System 44 programs. Both programs are Common Co
X439|Read180|"they need in order access these grade level texts. Read 180 and System 44 are both research 
based programs th"
X439|Read180|"ated and decided to implement is the System 44 and Read 180 program for entering and emerging 
ENL classes. Bo"
X439|Read180|"der to enhance classroom content, programs such as Read 180 and 
System 44 are used in the ESL classroom. At B"
X439|Read180|" area 
classrooms. Additonally, both System 44 and Read 180 software has native language support built into th"
X439|Read180|"der to enhance classroom content, programs such as Read 180 and 
System 44 are used in the ESL classroom. At B"
X439|The Writing Revolution (TWR)|"tation among grade level 
teachers with a focus on The Writing Revolution (TWR.)  

Teaching 
Staff 

Identify opportunities for cu"
K035|EL Education|" other literature-rich programs such as Code X and Expeditionary Learning. 

b.  TBE program.  If applicable.   

Not appli"
K035|EngageNY|"n of 
the CMP3 (Pearson-Connected Math Program) , EngageNY and Jump Math modules will receive instruction al"
K035|Generation Ready|"ept. 2018-
June 2019 

All math educators 
and  

Generation Ready 
Consultants 

 
 

 
3b – Parent and Family Enga"
K035|Word Generation|" 2018. As a result, students will embark upon the Word Generation program for academic 

2018-19 CEP               "
K035|Just Words|") and 
other interventions when necessary such as Just Words and Wilson to provide a richer literacy community"
K035|Just Words|"P (Degress of Reading Power), WIST Assessment and Just Words.   
 

2.  What structures do you have in place t"
K035|Just Words|" support this effort? 

Educators were trained in Just Words during the Summer of 2018 with follow-up coaching"
K035|Just Words|"r of 2018 with follow-up coaching visits from the Just Words 
consultant during the 2018-2019 school year to e"
K035|Just Words|"the DRP appropriate interventions such as Wilson, Just Words, WIST will be administered to 
the students.     "
K035|Just Words|"Language Learners will receive instruction in the Just Words Curriculum (Wilson Training Curriculum).  Just 
W"
Q435|Amplify|"rental engagement for the CET and PTA in 
order to amplify parent involvement. We will be coordinating effort"
Q435|Amplify|"uitment campaigns for 
the CET and PTA in order to amplify parent involvement. We will be coordinating effort"
Q435|myON|"newcoming ELLs by providing smaller class 
sizes, myON leveled ebooks, language enrichment services and "
Q435|myON|"ok texts and assessments in our Entering classes; myON 
for Independent Reading that provides leveled te"
Q435|myON|lassroom with a SmartBoard. They also utilize the myON.com program for leveled reading.  The dedicated G
Q435|myON|"ENL levels.  Every 
student in the building has a myON.com online leveled ebook account, and starting ne"
Q435|NewsEla|"lement our classrooms with myon.com, Snap&Read and Newsela to support our 
readers. 

 

In addition to our 8"
Q435|REWARDS|"EWARDS"" this year in co-taught ENL/ELA 
classes.  REWARDS introduces students to a unique multisyllabic wor"
Q435|REWARDS|" to create benchmarks and goals for the students. REWARDS Reading Intervention, Listenwise, 

2018-19 RSCEP"
Q435|EngageNY|"erentiate and scaffold for 
ELLs.  Materials from EngageNY and writing strategies from Hochman are being res"
Q435|EngageNY|"various points within units of study adapted from EngageNY. 
Teacher created baseline assessments are admini"
Q435|EngageNY|"eated baselines and unit assessments derived from EngageNY across our integrated ENL ELA classes to 
assess "
Q435|EngageNY|"se read and annotation method that are in the ELA EngageNY modules, 
and WITSi to build capacity for all lev"
Q435|EngageNY|"rnings where research, student work, SIOP models, EngageNY, 
WITsi strategies, and use inquiry are reviewed "
Q435|EngageNY|" 

 

          95 

 

 

materials that are on EngageNY.  Teachers have adapted lessons to use in their o"
Q435|Envision|"aration for sophomore Algebra. 

 

 

What do you envision the delivery of instruction to look like so that a"
Q435|Envision|"sons for our diverse learners.  

 

 

How do you envision teachers using multiple entry points to ensure the"
Q435|Envision|"ow they are helping students. 

 

 
 

How do you envision collaboration amongst your School Instructional Ca"
Q435|Envision|"ared to target teacher 
needs.  

 

 

How do you envision collaboration within teacher teams to improve teac"
Q435|Envision|" teachers about their practice. 

 

 

How do you envision collaboration across teacher teams to improve teac"
X377|ThinkCERCA|"g while in school and at home.  

Think CERCA: The Think CERCA program is a standards-aligned close reading and a"
K753|Next Generation Learning Standards|"ndards and is in the process of 
being aligned to Next Generation Learning Standards. 
  
English as a New Language (ENL):  
To facili"
M322|Passports|"drumming, archery, chorus, self-care, SMART Girls, Passport to Manhood, and several 
fine arts classes. 

 

P"
M322|Teacher's College Reading and Writing Project|"ing hands-on 
activities for science, implementing TCRWP components"".  

2. According to our 2017-2018 NYC"
M322|Teacher's College Reading and Writing Project|"receive targeted 
professional development through TCRWP to address the needs 
of all students.  

ENL and"
M322|Teacher's College Reading and Writing Project|"on-fiction texts in Newsela. NLA will 
support our TCRWP ELA curriculum, helping students to master grade-"
M322|Teacher's College Reading and Writing Project|".g., EL SOL, Estrellita, Fountas and Pinnell, DRA, TCRWP, 

teacher-created assessments) are being used to"
M322|Teacher's College Reading and Writing Project|"anced group receiving instruction according to the TCRWP model 
(with ENL support). Beginner students rece"
M322|Teacher's College Reading and Writing Project|"del 
(with ENL support). Beginner students receive TCRWP-based Reader’s and Writer’s Workshop instruction "
M322|Teacher's College Reading and Writing Project|"cy block.  Students receive instruction 
using the TCRWP Readers and Writers Workshop curriculum, adapted "
M322|Teacher's College Reading and Writing Project|"ing professional development and coaching from our TCRWP consultant, literacy coach and ELL 
coordinator i"
M322|Teacher's College Reading and Writing Project|"and ELL 
coordinator in appropriately adapting the TCRWP workshops to effectively meet the instructional n"
M322|Teacher's College Reading and Writing Project|"language program receive ELA instruction using the TCRWP Readers and Writers Workshop curriculum, 
adapted"
M322|Teacher's College Reading and Writing Project|"ve a daily triple period literacy block, using the TCRWP Reader’s 
and Writer’s workshops to ensure conten"
M322|Teacher's College Reading and Writing Project|"s, leveraging RTI and the conferring aspect of the TCRWP curriculum to provide students individualized 
fe"
M322|Fountas and Pinnell|" ELL 
teaching team who use language acquisition, Fountas and Pinnell reading level and other measures to create groups"
X405|REWARDS|"f sessions throughout the year, targeted on using REWARDS 
successfully with students.  This is offered thr"
X405|Hochman Writing|"nning with 
the English Department 
to incorporate Hochman 
Writing Strategies in US 
History 

US History Teachers wi"
X405|Envision|"skills, habits, and behaviors. 

 

 

What do you envision the delivery of instruction to look like so that a"
X405|Envision|"rom the Community School Grant. 

 

 

How do you envision teachers using multiple entry points to ensure the"
X405|Envision|"nstructured collaboration. 

 

 

 
 

How do you envision collaboration amongst your School Instructional Ca"
X405|Envision|"bulary around student learning. 

 

 

How do you envision collaboration within teacher teams to improve teac"
X405|Envision|"tor and learn from one another. 

 

 

How do you envision collaboration across teacher teams to improve teac"
X363|Pearson|" it is explicit ENL instruction is done utilizing Pearson Longman's Keystone series as well as 
Collections"
X363|Pearson|"e Curriculum.   For ENL the push in 
teacher uses Pearson Longman's Keystone which is sufficiently aligned "
X363|iReady|"ormative and summative assessment sources such as iReady, NYS Item Skills 
Analysis, baseline and end of u"
X363|iReady|"ational decisions that impact student outcomes? 

iReady performance on benchmark assessments compared to "
X363|iReady|" performance on benchmark assessments compared to iReady fall diagnostic  

1. 
2.  Pre and post unit asse"
X363|iReady|"ecks for understanding 
5.  ELT grouping based on iReady data 
6.  Morning Math students invited based on "
X363|iReady|" data 
6.  Morning Math students invited based on iReady data 
7.  Vacation academy students invited based"
X363|iReady|"nted 

Purpose 

benchmark, summative) 

IReady 

iReady 

Iready 

Ready 

diagnostic 

diagnostic 

benc"
X363|iReady|"ipate in 
individualized learning 
plans based on iReady 
diagnostic and 
benchmark 
assessments 
througho"
X363|iReady|" pieces, 
Performance 
Tasks, Unit 
Assessments, 
iReady 

I-Ready, 
Ready, TC 
Writing pieces, 
Performan"
X363|iReady|"scoring on grade level as evidenced by the winter iReady benchmark assessment.  

 
Part 6b. Indicate the "
X363|iReady|"ment of measure that is used to assess progress. 
iReady benchmark assessment 

 

Part 6c. In February 20"
X363|iReady|" 
2019 

 

Administration and 
Teacher Leaders 

iReady growth 
against Fall 
Diagnostic 

 

2018-19 RSC"
X363|iReady|"scoring on grade level as evidenced by the winter iReady benchmark assessment.  

 
Part 6b. Indicate the "
X363|iReady|"ment of measure that is used to assess progress. 
iReady winter benchmark assessment 

 

Part 6c. In Febr"
X363|iReady|"s well as seeing a 5% 
increase in proficiency in iReady Diagnostics. 

 
Part 6b. Indicate the specific i"
