bn|term|excerpt
K009|Imagine Learning|"ic awareness skills. 
2. ELL Teacher will utilize Imagine Learning to provide students with support in learning Engl"
K009|Imagine Learning|"ant funds will be used to purchase Fundations and Imagine Learning materials. 
2.  No programmatic or additional res"
K009|Imagine Learning|"our technology program for ELL's 

Page 25 

 

(Imagine Learning English), running records and other informal asse"
K009|Imagine Learning|ish through an instructional technology program, 'Imagine Learning English', which is in addition to their regular i
K009|Imagine Learning|"s.  We use several technology programs including ‘Imagine Learning English’, ‘Rosetta Stone’ and ‘Math Blaster’.  ""I"
K009|Imagine Learning|anish.  Students also use the technology program 'Imagine Learning English' which teaches students English while pro
K009|Learning Partners Program|"essary adjustments. 
7.  Principal will meet with Learning Partners Program team of teachers, principals, and facilitator on "
K009|Reading Recovery|"eeds of identified subgroups 
1.  To maintain the Reading Recovery program and further strengthen it. 
2.  To use Re"
K009|Reading Recovery|"ovide prescribed instruction in reading. 
6.  The Reading Recovery teachers will provide professional development to"
K009|Reading Recovery|"used to implement each strategy/activity 
1.  Two Reading Recovery Teachers assigned to P.S. 9 
2.  All teachers, K "
K009|Reading Recovery|"istration, Teachers College Staff Developers 
6.  Reading Recovery teachers, Grade 1 teachers 
7.  Learning Partners"
K009|Reading Recovery|"h strategy/activity 
1.  Principal will meet with Reading Recovery teachers and Grade 1 teachers monthly to analyze "
K009|Reading Recovery|"is being made.  

Principal will communicate with Reading Recovery trainers at NYU after each session to ensure that"
K009|Reading Recovery|" provide follow-up. 
6.  Principal will meet with Reading Recovery teachers monthly to plan professional development"
K009|Reading Recovery|"
repeated readings, interactive 
writings, etc.) 
Reading Recovery  
Reading Rescue 
Guided Reading Small Groups 
EL"
K009|Reading Rescue|"ry program and further strengthen it. 
2.  To use Reading Rescue program to assist struggling readers in grade K –"
K009|Reading Rescue|"ras; Teachers College staff developer assigned to Reading Rescue 
3.  All teachers, K – 5; Administration, Network"
K009|Reading Rescue|" school. 

2.  Principal will meet with Paras and Reading Rescue staff  
3.  Principal will meet with teachers at "
K009|Reading Rescue|"NYU 
2.  Grant funding to support the purchase of Reading Rescue materials. 
3.  Per session for data analysis 
4."
K009|Reading Rescue|" interactive 
writings, etc.) 
Reading Recovery  
Reading Rescue 
Guided Reading Small Groups 
ELA Strategy Groups"
K009|Reading Rescue|"or Reading 
Recovery: one-to-one 
*Individualized Reading Rescue 
instruction: one-to-one 
*Small groups of 4-6 st"
