bn|term|excerpt
K009|IDO|"ultation with their 

School Leadership Team.

HOW DO CEP GOALS RELATE TO GOALS SET FOR THE PRINCIPAL PE"
K009|Fundations|"
Reading materials, big books for Shared Reading, Fundations notebooks and letter tiles and Words Their Way ac"
K009|Fundations|"eading levels, etc.  We also use assessments from Fundations and teacher created 
assessments for ELL's.   The"
K009|Fountas and Pinnell|"reading levels and reading comprehension using the Fountal and Pinnell 
text leveling system, as this is a good indicator"
K009|Acuity|" their assessments 
results.
 Guided math groups, Acuity Lessons, Extensions of our Everyday Math 
curricu"
X439|IDO|"ultation with their 

School Leadership Team.

HOW DO CEP GOALS RELATE TO GOALS SET FOR THE PRINCIPAL PE"
X439|Rosetta Stone|" 2012, from Monday to Thursday.  We have procured Rosetta Stone, a 
language  development  software,  and  Failur"
X439|Teacher's College Reading and Writing Project|"e.g., ECLAS-2, EL SOL, Fountas and 

Pinnell, DRA, TCRWP). What insights do the data provide about your EL"
K035|IDO|"ultation with their 

School Leadership Team.

HOW DO CEP GOALS RELATE TO GOALS SET FOR THE PRINCIPAL PE"
Q435|Go Math!|"/STRATEGIES/ACTIVITIES
 Dissemination of all data to Math teachers to drive instruction.
 Continued revisio"
Q435|IDO|"ultation with their 

School Leadership Team.

HOW DO CEP GOALS RELATE TO GOALS SET FOR THE PRINCIPAL PE"
X377|IDO|"ation with their School Leadership Team. 

 
 
HOW DO CEP GOALS RELATE TO GOALS SET FOR THE PRINCIPAL 
P"
X377|Acuity|"uccessful 
• We offer the Aventa online credit 4. Acuity 5. PSAT 6. New York State Regents Examinations 
7"
X377|Acuity|"nistered the Gates MacGinitie Test as well as the Acuity and 

Our students will be held to high standards"
K753|IDO|"ultation with their 

School Leadership Team.

HOW DO CEP GOALS RELATE TO GOALS SET FOR THE PRINCIPAL PE"
M322|IDO|"ultation with their 

School Leadership Team.

HOW DO CEP GOALS RELATE TO GOALS SET FOR THE PRINCIPAL PE"
M322|Read180|"ents up for literacy intervention using 
System44/Read180.  SIFE students are also targeted for AIS in math"
M322|Read180|"he use of computer-based interventions 
(System44/Read180) designed to accelerate literacy development for "
M322|Read180|"sed intervention using the System44 (40 licenses)/Read180 (120 
explicit instruction in using dictionaries/"
M322|Read180|"sed intervention using the System44 (40 licenses)/Read180 (120 
offer ESL services for all IEP students who"
M322|Read180|to individualized technology-based interventions (Read180) have been quite effective in accelerating litera
M322|Read180|"sed intervention using the System44 (40 licenses)/Read180 (120 
licenses) programs, as part of the rotation"
M322|Read180|"sed intervention using the System44 (40 licenses)/Read180 (120 
assessments in English struggle to reflect "
M322|Teacher's College Reading and Writing Project|"Professional Development), developing plans 

with TCRWP support curriculum maps and differentiation.

 E"
M322|Teacher's College Reading and Writing Project|"verage conceptually consolidated funds to maintain TCRWP curriculum and professional development
Leverage "
M322|Teacher's College Reading and Writing Project|"are -- System 44 or Read 180)

Improve tracking of TCRWP assessments in TC AssessmentPro.
Increase the num"
M322|Teacher's College Reading and Writing Project|"15 in this CEP. 


Involve teachers in additional TCRWP study groups and calendar days.

conduct  parent "
