bn|term|excerpt
Q435|Pearson|"using with Title I funds include: 

  EPIC (Every Person Influencing Children)to assist families by present"
Q435|Acuity|"exam results 
  Daily student assessment 
  ELL Acuity Assessment Test results 
  NYSESLAT Exam 
  Par"
Q435|Acuity|"d implement suggestions 
  To evaluate and study Acuity Assessment Examinations 
  To utilize the BESIS "
Q435|Acuity|"rvention services. 
  Scholarship Report 
  ELL Acuity Assessment Test 
  School Report Card 
  Parent"
Q435|Acuity|" for Open house 
  Usage for PD 
  Location for Acuity Training 
  Location for Networking Activities 
"
X405|Pearson|"on Longman, Second Edition 

      True Stories - Pearson Longman, Second Edition 

      Get Ready to Writ"
X405|Pearson|"gman, Second Edition 

      Get Ready to Write - Pearson Longman, Second Edition 

      In Contact 1, 2 –"
X405|Pearson|" Second Edition 

      Focus on Grammar, Basic - Pearson Longman, Second Edition  

      A variety of mat"
X405|Pearson|" on Grammar, Intermediate and High-Intermediate - Pearson Longman, Second                          

      "
X405|Pearson|"     

Edition 

      North Star, Intermediate - Pearson Longman, Second Edition 

      Grammar in Contex"
X405|Pearson|", 2 - Thomson and Heinle 

      Ready to Write - Pearson Longman, Third Edition    

  

      A variety o"
X405|Pearson|"cond Edition 

      Focus on Grammar, Advanced - Pearson Longman, Second Edition 

      Grammar in Contex"
X405|Pearson|"le, Fourth Edition 

      North Star, Advanced - Pearson Longman, Second Edition 

      Great American St"
X405|Pearson|"on 

      Great American Stories – C. G. Draper, Pearson Longman 

      All American Stories – C. G. Drap"
X405|Pearson|"gman 

      All American Stories – C. G. Draper, Pearson Longman  

      Topics for Today - Thomson and H"
X405|Rosetta Stone|"aboratory/instructional materials 
 

$3,000 

 2 Rosetta Stone language development software package. 

 

$11,0"
X405|Acuity|"ers of the staff attended workshops off site. 
  Acuity Training:  On-site and off-site workshops were he"
X405|Acuity|"rms and end-terms (subject 
and/or grade level).  Acuity, Aris, NYSESLAT, Skedula, Scantron, and other 
so"
X405|Acuity|"etter understanding other programs, such as Aris, Acuity, and the data tool, and 
learning how the informa"
M108|BrainPOP|" Received: 

o  REACH Grant for Technology Program Brain POP $10,000 
o  ‗Tweens to Teens Library Grant $2,500 "
M108|Core Knowledge|"ledge from PreK to Eighth grade.  We are using the Core 
Knowledge Program to support this goal.  

  Weekly Data In"
M108|Passports|"ing program and Saturday Writing Academy, 
Voyager Passport and SETSS).   
 
At PS/MS 108, An Advisory Committ"
M108|Passports|"cademic Intervention Services using Wilson Voyager Passport and Journeys 

Aligning Resources: Implications fo"
M108|Passports|"cs: 

MAY 2009 
 

Leaps Assessment and/or Voyager Passport Assessment. Student needs will be identified using"
M108|Voyager Passport|"M 
  Academic Intervention Services using Wilson Voyager Passport and Journeys 

Aligning Resources: Implications f"
M108|Voyager Passport|"thematics: 

MAY 2009 
 

Leaps Assessment and/or Voyager Passport Assessment. Student needs will be identified usin"
